Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,TitleGroup_Military,TitleGroup_Miss,TitleGroup_Mr,TitleGroup_Mrs,TitleGroup_Professional,TitleGroup_Royalty,Embarked_Q,Embarked_S,AgeGroup_Teen,AgeGroup_y_adult,AgeGroup_m_adult,AgeGroup_senior
0,1,0,1.2159466425950585,-0.47454519624983954,-0.4736736092984604,0.49367130044786856,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,False,True,False
0,2,0,-0.5155262490625547,-0.47454519624983954,-0.4736736092984604,-0.1909882275321034,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,True,False,False
0,3,0,0.17706290760049057,-0.47454519624983954,-0.4736736092984604,-0.6762548575765187,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,True,False,False
0,3,0,-0.2846631968415396,0.4327933656785018,-0.4736736092984604,-0.6854437408076759,0.059159876663617626,0,False,False,True,False,False,False,False,True,False,True,False,False
0,3,1,-1.8237502116483069,3.1548090514635256,2.0089333664952354,0.5682560072312521,3.1598334123861687,0,False,True,False,False,False,False,False,True,False,False,False,False
0,1,0,-0.4385718983222164,-0.47454519624983954,0.7676298785983874,1.9492891083589172,0.059159876663617626,0,False,False,True,False,False,False,False,False,False,True,False,False
0,1,0,1.1774694672248893,-0.47454519624983954,-0.4736736092984604,0.43590431571870447,-0.5609748304808925,1,True,False,False,False,False,False,False,True,False,False,True,False
0,2,0,-0.05380014462052453,0.4327933656785018,-0.4736736092984604,0.4711679020050393,0.059159876663617626,0,False,False,True,False,False,False,False,False,False,True,False,False
0,3,0,0.0,-0.47454519624983954,-0.4736736092984604,-0.6800329778747377,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,True,False,False
1,1,0,0.0,-0.47454519624983954,-0.4736736092984604,0.6679220602542509,-0.5609748304808925,1,False,False,True,False,False,False,False,True,False,True,False,False
1,2,1,0.9466064150038742,-0.47454519624983954,-0.4736736092984604,-0.1909882275321034,-0.5609748304808925,1,False,False,False,True,False,False,False,True,False,False,True,False
0,3,0,0.48488031056184405,0.4327933656785018,0.7676298785983874,0.3574751794167469,0.6792945838081278,0,False,False,True,False,False,False,False,True,False,True,False,False
